triplet,r.confidence,r.source_document
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/alberta-indigenous-intern-program
Electric Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/alberta-indigenous-intern-program
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/alberta-indigenous-intern-program
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/alberta-indigenous-intern-program
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/alberta-indigenous-intern-program
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/Indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/indigenous-housing-capital-program
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/indigenous-employment-training-partnerships-program
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/employment-partnerships-program
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/indigenous-organizations-and-service-directory
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/first-nations-development-fund-grant-program
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/training-and-employment-services-directory
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/budget-documents.aspx
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/budget-documents.aspx
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/budget-documents.aspx
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/budget-documents.aspx
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/budget-documents.aspx
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/fr/programs-of-study
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/fr/programs-of-study
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/fr/programs-of-study
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/fr/programs-of-study
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/fr/programs-of-study
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/k-12-curriculum-programs-of-study
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/k-12-curriculum-programs-of-study
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/k-12-curriculum-programs-of-study
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/k-12-curriculum-programs-of-study
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/k-12-curriculum-programs-of-study
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/school-construction-accelerator-program
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/school-construction-accelerator-program
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/school-construction-accelerator-program
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/school-construction-accelerator-program
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/school-construction-accelerator-program
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/programs-of-study
Electric Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/programs-of-study
Electric Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/programs-of-study
Electric Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/programs-of-study
Electric Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/programs-of-study
Electric Program | RELATED_TO | Adult Learning Program,0.7,https://www.alberta.ca/fr/school-construction-accelerator-program
